,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
509,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
519,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
525,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
154,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
193,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
350,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
351,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
421,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
422,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
516,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
143,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
151,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
204,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
243,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
251,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
275,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
298,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
299,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
302,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
303,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
315,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
317,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
352,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
353,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
357,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
365,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
369,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
370,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
398,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
399,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
409,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
416,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
467,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
469,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
472,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
473,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
